ID,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin
1,chevelle malibu,chevrolet,18,8,307,130,3504,12,70,American
2,skylark 320,buick,15,8,350,165,3693,11.5,70,American
3,satellite,plymouth,18,8,318,150,3436,11,70,American
4,rebel sst,amc,16,8,304,150,3433,12,70,American
5,torino,ford,17,8,302,140,3449,10.5,70,American
6,galaxie 500,ford,15,8,429,198,4341,10,70,American
7,impala,chevrolet,14,8,454,220,4354,9,70,American
8,fury iii,plymouth,14,8,440,215,4312,8.5,70,American
9,catalina,pontiac,14,8,455,225,4425,10,70,American
10,ambassador dpl,amc,15,8,390,190,3850,8.5,70,American
11,ds-21 pallas,citroen,NA,4,133,115,3090,17.5,70,European
12,chevelle concours (sw),chevrolet,NA,8,350,165,4142,11.5,70,American
13,torino (sw),ford,NA,8,351,153,4034,11,70,American
14,satellite (sw),plymouth,NA,8,383,175,4166,10.5,70,American
15,rebel sst (sw),amc,NA,8,360,175,3850,11,70,American
16,challenger se,dodge,15,8,383,170,3563,10,70,American
17,'cuda 340,plymouth,14,8,340,160,3609,8,70,American
18,mustang boss 302,ford,NA,8,302,140,3353,8,70,American
19,monte carlo,chevrolet,15,8,400,150,3761,9.5,70,American
20,estate wagon (sw),buick,14,8,455,225,3086,10,70,American
21,corona mark ii,toyota,24,4,113,95,2372,15,70,Japanese
22,duster,plymouth,22,6,198,95,2833,15.5,70,American
23,hornet,amc,18,6,199,97,2774,15.5,70,American
24,maverick,ford,21,6,200,85,2587,16,70,American
25,pl510,datsun,27,4,97,88,2130,14.5,70,Japanese
26,1131 deluxe sedan,vw,26,4,97,46,1835,20.5,70,European
27,504,peugeot,25,4,110,87,2672,17.5,70,European
28,100 ls,audi,24,4,107,90,2430,14.5,70,European
29,99e,saab,25,4,104,95,2375,17.5,70,European
30,2002,bmw,26,4,121,113,2234,12.5,70,European
31,gremlin,amc,21,6,199,90,2648,15,70,American
32,f250,ford,10,8,360,215,4615,14,70,American
33,c20,chevrolet,10,8,307,200,4376,15,70,American
34,d200,dodge,11,8,318,210,4382,13.5,70,American
35,1200d,hi,9,8,304,193,4732,18.5,70,American
36,pl510,datsun,27,4,97,88,2130,14.5,71,Japanese
37,vega 2300,chevrolet,28,4,140,90,2264,15.5,71,American
38,corona,toyota,25,4,113,95,2228,14,71,Japanese
39,pinto,ford,25,4,98,NA,2046,19,71,American
40,super beetle 117,vw,NA,4,97,48,1978,20,71,European
41,gremlin,amc,19,6,232,100,2634,13,71,American
